grant_id,grant_val
171181,R00 EB009106
171185,R01 AG047992
171189,U01 AG024904
186275,001
189679,001
190747,MC_PC_15018
192043,P30 CA008748
192047,U54 CA190153
202977,K24 HL138188
207267,EPA999999
207365,EPA999999
207563,R01 DE016289
207567,R24 OD021485
208011,P51 OD011092
208015,R01 AI106482
208019,U19 AI128910
210587,R01 NS086134
210591,R21 NS095047
210595,UH2 NS092981
211623,R01 NS081366
211627,R35 GM118103
213459,R21 EB024957
213463,T32 AG000213
213633,R01 HL135254
213735,UL1 TR001436
213877,R01 DE017925
213881,R01 DE026279
213885,R01 DE026772
218700,R01 GM071872
291016,P30 CA076292
291020,R01 CA092309
291024,R21 NS099417
291028,U54 CA163068
291316,R01 GM120507
291920,P30 CA014520
291924,T32 GM008349
291928,U54 DK104310
292434,EPA999999
292534,R01 CA208514
293006,K23 DK103910
295458,R03 CA195124
296468,R42 ES026532
296472,U01 EB021923
296540,URF/R1/180187
296544,RGF/EA/181044
296548,EP/R029822/1
296650,G1001344
296654,MC_U147585827
296658,10/99/01
296662,MC_U147585819
296666,MC_UP_A620_1014
296670,MC_UU_12011/1
296674,G0400491
296678,MC_U147585824
297016,N0002249
302841,P2C HD041041
302845,R24 HD041041
309719,TL1 TR001069
311561,R01 GM032543
311565,R01 HG006851
311819,P30 CA091842
311823,R01 AI118426
311827,R21 AI119744
311953,R35 GM128854
312239,IA/S/14/1/501307
312243,R01 AI110720
312247,U19 AI117891
312333,P40 OD010440
312479,BB/N001079/1
312483,BB/P012523/1
312487,BB/J004561/1
312809,P30 GM110759
312813,R21 CA212932
312817,T32 ES007272
312925,R01 NS091300
312929,R01 NS097547
313085,R21 AI144136
313629,Z01 CP010119
313633,Z01 CP010119
313637,Z01 ES049030
313641,P30 CA086862
313645,Z01 ES049030
314383,T42 OH008434
314549,U24 DA041123
314553,U24 DA041147
314557,U01 DA041106
314561,U01 DA041174
314807,MR/S003878/1
315443,K12 HS022981
315447,R01 HS025155
315679,KL2 TR002547
315839,R21 AR074006
315843,324830
317229,BB/P013759/1
317539,P20 GM103476
317649,212343/Z/18/Z
317751,P20 GM113132
317755,P30 CA023108
317759,R35 GM122545
319069,DRF-2010-03-97
319407,714312
320235,61871093
320453,311122
320457,n.a.
320461,14.W03.031.0025
320583,/
320587,/
320591,/
320595,/
320599,/
320603,/
321421,CPUT-RJ23
321425,R022
321511,TE776/3-1
321811,2016YFC0201000
321815,XDA23010204
321819,Y83H3y1251
322147,31572406
322151,2016YFD0500500
322463,"MOP, 119593"
322629,IZSUM RC 002 2015
322765,"PN-III-P1-1.2-PCCDI-2017-0323 / no. 5/2018, within PNCDI III"
323803,T32 NR007969
323807,K99 NR017829
323811,P30 NR016587
323885,UL1 TR000114
325609,MR/P011136/1
325613,R21 AI117457
325617,R21 HD093948
325621,U19 AI109858
325735,R01 AI135005
325739,R43 AI131868
325743,R21 AI114762
327483,R01 HL070715
327487,R01 HL105731
