article_id,grant_id
213863,213885
218686,218700
291002,291016
291002,291020
291002,291024
291002,291028
291302,291316
291906,291920
291906,291924
291906,291928
292420,292434
292520,292534
292992,293006
295444,295458
296454,296468
296454,296472
296526,296540
296526,296544
296526,296548
296636,296650
296636,296654
296636,296658
296636,296662
296636,296666
296636,296670
296636,296674
296636,296678
297002,297016
302827,302841
302827,302845
309705,309719
311547,311561
311547,311565
311939,311953
312225,312239
312225,312243
312225,312247
312319,312333
312465,312479
312465,312483
312465,312487
312795,312809
312795,312813
312795,312817
312911,312925
312911,312929
313615,313629
313615,313633
313615,313637
313615,313641
313615,313645
314369,314383
314535,314549
314535,314553
314535,314557
314535,314561
314793,314807
315429,315443
315429,315447
315665,315679
315825,315839
315825,315843
317215,317229
317525,317539
317635,317649
317737,317751
317737,317755
317737,317759
319055,319069
319393,319407
320221,320235
320439,320453
320439,320457
320439,320461
320569,320583
320569,320587
320569,320591
320569,320595
320569,320599
320569,320603
321407,321421
321407,321425
321497,321511
321797,321811
321797,321815
321797,321819
322133,322147
322133,322151
322449,322463
322615,322629
322751,322765
323789,323803
323789,323807
323789,323811
323871,323885
325595,325609
325595,325613
325595,325617
325595,325621
325721,325735
325721,325739
325721,325743
327469,327483
327469,327487
327725,327739
327725,327743
327725,327747
327725,327751
327725,327755
328783,328797
329503,329517
329503,329521
329709,329723
329709,329727
329709,329731
329709,329735
329709,329739
329709,329743
330917,330931
331219,331233
331219,331237
331219,331241
331281,331295
331281,331299
331281,331303
331897,331911
332281,332295
332281,332299
332281,332303
332281,332307
332281,332311
332281,332315
332503,332517
332503,332521
332503,332525
332503,332529
332503,332533
332503,332537
332503,332541
332691,332705
332691,332709
332691,332713
332691,332717
332819,332833
332819,332837
332819,332841
332819,332845
332819,332849
332819,332853
332819,332857
332819,332861
332977,332991
332977,332995
332977,332999
332977,333003
332977,333007
332977,333011
332977,333015
333091,333105
334351,334365
334351,334369
335381,335395
335381,335399
335535,335549
336491,336505
336491,336509
336491,336513
336491,336517
337103,337117
337103,337121
337103,337125
